,ID,Count
0,18288,411.7170327962474
1,18289,328.57173210146937
2,18290,278.07288790969193
3,18291,229.76169286502284
4,18292,193.39111122530602
5,18293,173.11694471481394
6,18294,186.1477244171549
7,18295,215.88219309223206
8,18296,248.60181511854756
9,18297,321.24786321767226
10,18298,455.97485784928455
11,18299,505.50791713330864
12,18300,510.86363343994185
13,18301,451.819056125012
14,18302,483.1046338943604
15,18303,477.00262924991785
16,18304,464.8278861703586
17,18305,475.65638362092795
18,18306,487.36286735127317
19,18307,517.1412353403394
20,18308,496.95486745782443
21,18309,463.85478471027307
22,18310,465.5375917465102
23,18311,454.53349703998606
24,18312,392.34691482623623
25,18313,313.11336456881975
26,18314,264.9903476842114
27,18315,218.95205726272934
28,18316,184.29260827209066
29,18317,164.9722837593044
30,18318,177.39000225705706
31,18319,205.72554856523553
32,18320,236.90580523112504
33,18321,306.134062931397
34,18322,434.5225348110228
35,18323,481.7252042269602
36,18324,486.8289492805004
37,18325,430.5622517640137
38,18326,460.37593188551284
39,18327,454.5610092425451
40,18328,442.9590532738421
41,18329,453.27810064985187
42,18330,464.4338275428354
43,18331,492.81120782686276
44,18332,473.57455126577344
45,18333,442.03173347586227
46,18334,443.6353692167287
47,18335,433.1489859373245
48,18336,377.9205438253595
49,18337,301.6003657611112
50,18338,255.24680460311734
51,18339,210.90131571203744
52,18340,177.516274779498
53,18341,158.90634751655938
54,18342,170.86747362817758
55,18343,198.16113815238597
56,18344,228.1949146662297
57,18345,294.8776890414429
58,18346,418.5453904560036
59,18347,464.0124447938215
60,18348,468.92852806934343
61,18349,414.7307247449431
62,18350,443.44817295004066
63,18351,437.84706167711005
64,18352,426.67170297428447
65,18353,436.6113248974705
66,18354,447.3568621117257
67,18355,474.6908224004878
68,18356,456.1614866666557
69,18357,425.778480193349
70,18358,427.3231511678982
71,18359,417.2223461864986
72,18360,262.6256366619293
73,18361,209.5889979246148
74,18362,177.37684722372208
75,18363,146.5601519067133
76,18364,123.36012276528506
77,18365,110.42765832133048
78,18366,118.7397186514219
79,18367,137.70671089257337
80,18368,158.57786967762016
81,18369,204.91725598726435
82,18370,290.85677250511975
83,18371,322.4528693241641
84,18372,325.8691681235055
85,18373,288.2058739832265
86,18374,308.1622860952258
87,18375,304.2699456599107
88,18376,296.50393308873055
89,18377,303.4112038852128
90,18378,310.87852366519365
91,18379,329.8735183555202
92,18380,316.99705880991525
93,18381,295.88321213201925
94,18382,296.9566393503915
95,18383,289.9373587572098
